                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.276,                  3.776,                 2.4347,                0.38045,                0.17778,                0.15293,                0.05803,                 2.4453,                 3.0752,                 2.6004,             0.00066623,             0.00066623,             0.00066623
                      2,                 2.2796,                 2.8693,                 2.5918,                0.54816,                0.23492,                0.25797,                0.10181,                  2.333,                 2.6361,                 2.7153,              0.0012009,              0.0012009,              0.0012009
                      3,                 2.2062,                 2.5817,                 2.5184,                0.45252,                0.19048,                0.21541,                0.08142,                 2.3209,                 2.5381,                  2.615,              0.0016037,              0.0016037,              0.0016037
                      4,                 2.1108,                 2.4177,                 2.4454,                0.34302,                0.34921,                0.28213,                0.12914,                 2.1027,                 2.3285,                 2.3676,               0.001406,               0.001406,               0.001406
                      5,                 2.0366,                 2.3064,                 2.3544,                0.41634,                0.31024,                0.31204,                0.14299,                 2.0876,                  2.291,                 2.4489,               0.001406,               0.001406,               0.001406
                      6,                   1.96,                 2.1174,                 2.2962,                0.44834,                0.36378,                0.38511,                0.17169,                 2.0435,                 2.2005,                 2.3837,               0.001208,               0.001208,               0.001208
                      7,                    1.9,                 2.0314,                 2.2313,                0.42794,                0.40635,                 0.4136,                0.19072,                 1.8948,                 1.9783,                 2.1766,                0.00101,                0.00101,                0.00101
                      8,                 1.8102,                 1.8886,                 2.1607,                0.50892,                0.41905,                0.44513,                0.21491,                 1.9054,                 1.8993,                 2.1676,               0.000812,               0.000812,               0.000812
                      9,                  1.748,                 1.7895,                 2.0756,                0.52321,                0.44762,                0.47054,                  0.243,                 1.8364,                  1.864,                 2.1305,               0.000614,               0.000614,               0.000614
                     10,                 1.7004,                 1.7231,                 2.0501,                 0.5922,                0.41587,                0.47414,                0.24522,                  1.797,                 1.7763,                 2.0837,               0.000416,               0.000416,               0.000416
